artigoEmPeriodico	Cícero Lopes Frota	1998		Regular solutions and energy decay for the equation of viscoelasticity with nonlinear damping on the boundary	Journal of Mathematical Analysis and Applications	FROTA, C. L.; COUSIN, Alfredo Tadeu ; LAR'KIN, Nickolai A		
artigoEmPeriodico	Cícero Lopes Frota	1998		On a variational inequality for the nonhomogeneous degenerated Kirchhoff equation with a frictional damping	Portugaliae Mathematica	FROTA, C. L.; LAR'KIN, Nickolai A		
artigoEmPeriodico	Cícero Lopes Frota	1998		Regular solutions and stability for the nonlinear thermoviscoelastic system with nonlinear damping on the boundary	Proc. of the 8th. Int. Coll. on Differential Equations, International Science Publishers-VSP	FROTA, C. L.; COUSIN, Alfredo Tadeu ; LAR'KIN, Nickolai A		
artigoEmPeriodico	Cícero Lopes Frota	1997		On the abstract model of the Kirchhoff-Carrier equation	Communications in Applied Analysis	FROTA, C. L.; COUSIN, Alfredo Tadeu ; LAR'KIN, Nickolai A ; MEDEIROS, Luis Adauto		
artigoEmPeriodico	Cícero Lopes Frota	1997		On local and global solvability of nonlinear mixed problems modelling vibrations of a string	Proc. of the 7th. Int. Coll. on Differential Equations, International Science Publishers-VSP	FROTA, C. L.; LAR'KIN, Nickolai A		
artigoEmPeriodico	Cícero Lopes Frota	1997		On global existence and uniqueness for the unilateral problem associated to the degenerated Kirchhoff equation	Nonlinear Analysis. Theory, Methods and Applications	FROTA, C. L.; LAR'KIN, Nickolai A		
artigoEmPeriodico	Cícero Lopes Frota	1995		A unilateral problem for the degenerated Kirchhoff equation	Proc. of the 6th. Int. Coll. on Diferrential Equations	FROTA, C. L.; LAR'KIN, Nickolai A		
artigoEmPeriodico	Cícero Lopes Frota	1994		Global solutions for a nonlinear unilateral problem	Anais da Academia Brasileira de Ciências	FROTA, C. L		
artigoEmPeriodico	Cícero Lopes Frota	1994		Non local solutions of a nonlinear hyperbolic partial equation	Portugaliae Mathematica	FROTA, C. L		
trabalhoCompletoEmCongresso	Cícero Lopes Frota	2005		On a mixed problem for the unidimensional wave equation with nonlinear boundary conditions	62 Seminário Brasileiro de Análise	FROTA, C. L.; LAR'KIN, Nickolai A ; SIMÕES, Marcio Hiran		
trabalhoCompletoEmCongresso	Cícero Lopes Frota	2005		On hyperbolic system with acoustic boundary conditions	62º Seminário Brasileiro de Análise	FROTA, C. L.; VICENTE, André		
trabalhoCompletoEmCongresso	Cícero Lopes Frota	2004		Um sistema hiperbólico do tipo Klein-Gordon com condições de fronteira da acústica	60º Seminário Brasileiro de Análise	FROTA, C. L.; VICENTE, André		
trabalhoCompletoEmCongresso	Cícero Lopes Frota	2003		Simplified model for compressible viscous dusty gas	57º Seminário Brasileiro de Análise	FROTA, C. L.; COUSIN, Alfredo Tadeu ; DORONIN, Gleb G ; LAR'KIN, Nickolai A		
trabalhoCompletoEmCongresso	Cícero Lopes Frota	2003		On the Kirchhoff equation in domains of Rn with moving boundaries	58 Seminário Brasileiro de Análise	FROTA, C. L.; MEDEIROS, Luis Adauto ; VIEIRA, Maria Cristina C ; RABELLO, Tânia N		
